step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
1,13.442,11,7.607,15,4.551,11,76,1.284,1.018,2.631,0.208,0.191,0.230,2.819
2,31.680,25,16.308,44,12.092,25,273,3.280,2.323,7.555,0.541,0.654,0.793,8.247
3,11.110,9,5.407,12,4.747,9,112,0.955,0.935,3.171,0.195,0.260,0.316,3.453
4,13.457,11,6.595,15,5.696,11,133,1.166,1.007,3.645,0.236,0.317,0.384,3.977
5,12.779,10,5.567,12,6.232,10,166,0.979,0.938,4.212,0.293,0.412,0.485,4.657
6,8.870,7,4.156,9,4.018,7,90,0.695,0.748,2.659,0.145,0.224,0.261,2.889
7,4.889,4,2.328,5,2.167,4,54,0.394,0.352,1.410,0.102,0.131,0.155,1.546
8,2.837,2,1.365,3,1.135,2,22,0.337,0.327,0.768,0.034,0.053,0.061,0.826
9,3.462,3,1.803,4,1.353,3,30,0.306,0.265,0.837,0.055,0.074,0.086,0.907
10,3.788,3,1.815,4,1.659,3,39,0.313,0.308,1.058,0.056,0.094,0.116,1.157
11,5.022,4,2.511,5,2.121,4,42,0.391,0.357,1.223,0.173,0.103,0.121,1.325
12,23.812,12,13.279,46,6.897,12,148,3.636,1.223,4.271,0.217,0.379,0.438,4.668
13,2.827,2,1.589,3,0.997,2,21,0.240,0.202,0.591,0.034,0.050,0.059,0.642
14,4.426,3,1.909,4,2.193,3,57,0.324,0.280,1.499,0.049,0.145,0.162,1.656
15,5.801,4,2.369,5,3.014,4,74,0.418,0.371,2.018,0.069,0.189,0.221,2.235
16,4.787,4,2.419,5,1.978,4,42,0.391,0.380,1.165,0.068,0.099,0.119,1.267
17,2.850,2,1.520,3,1.083,2,24,0.247,0.190,0.654,0.031,0.058,0.071,0.713
18,3.993,3,1.878,4,1.801,3,41,0.314,0.316,1.153,0.053,0.100,0.118,1.262
19,5.236,4,2.333,5,2.515,4,64,0.388,0.375,1.657,0.069,0.156,0.180,1.819
20,7.350,6,3.501,7,3.305,6,68,0.543,0.642,2.091,0.107,0.167,0.207,2.274
21,5.388,4,2.405,5,2.606,4,61,0.376,0.418,1.725,0.066,0.148,0.173,1.898
22,2.901,2,1.532,3,1.108,2,25,0.261,0.184,0.682,0.036,0.060,0.073,0.749
23,2.815,2,1.398,3,1.162,2,27,0.254,0.182,0.756,0.032,0.067,0.075,0.822
24,4.188,3,1.888,4,1.935,3,45,0.365,0.301,1.300,0.051,0.112,0.132,1.419
25,5.035,4,2.447,5,2.211,4,48,0.377,0.386,1.366,0.084,0.115,0.137,1.484
26,3.808,3,1.867,4,1.598,3,37,0.343,0.268,0.993,0.052,0.090,0.104,1.082
27,4.046,3,1.901,4,1.844,3,41,0.302,0.297,1.221,0.052,0.102,0.115,1.323
28,3.838,3,1.881,4,1.637,3,39,0.320,0.272,1.027,0.051,0.093,0.109,1.122
29,5.333,4,2.429,5,2.523,4,60,0.381,0.435,1.562,0.067,0.142,0.166,1.715
30,5.074,4,2.494,5,2.196,4,53,0.384,0.361,1.376,0.071,0.125,0.151,1.510
31,4.370,3,2.052,4,1.955,3,47,0.363,0.316,1.267,0.054,0.123,0.134,1.388
32,6.281,5,3.062,6,2.758,5,60,0.461,0.473,1.712,0.084,0.145,0.171,1.872
33,2.939,2,1.626,3,1.038,2,22,0.275,0.196,0.630,0.038,0.051,0.063,0.682
34,5.169,4,2.489,5,2.312,4,51,0.368,0.394,1.467,0.070,0.128,0.146,1.604
35,2.974,2,1.529,3,1.195,2,22,0.250,0.178,0.652,0.039,0.054,0.062,0.735
36,5.329,4,2.468,5,2.462,4,57,0.399,0.384,1.611,0.077,0.138,0.158,1.758
37,5.199,4,2.442,5,2.377,4,54,0.380,0.348,1.432,0.072,0.131,0.153,1.572
38,2.786,2,1.460,3,1.087,2,25,0.239,0.184,0.682,0.032,0.059,0.073,0.745
39,2.841,2,1.435,3,1.146,2,27,0.260,0.183,0.732,0.034,0.065,0.074,0.799
40,4.042,3,2.081,4,1.644,3,37,0.317,0.284,1.011,0.066,0.089,0.105,1.102
41,2.886,2,1.520,3,1.077,2,24,0.289,0.181,0.643,0.037,0.059,0.069,0.705
42,2.910,2,1.559,3,1.087,2,23,0.265,0.206,0.651,0.039,0.057,0.065,0.710
43,3.156,2,1.693,3,1.210,2,25,0.254,0.192,0.776,0.036,0.063,0.075,0.843
44,7.710,6,3.621,7,3.543,6,78,0.547,0.561,2.151,0.126,0.193,0.223,2.347
45,4.230,3,2.088,4,1.807,3,38,0.335,0.289,1.085,0.051,0.095,0.108,1.182
46,2.687,2,1.514,3,0.903,2,17,0.270,0.175,0.505,0.037,0.043,0.046,0.544
47,4.041,3,1.940,4,1.775,3,43,0.327,0.285,1.113,0.046,0.103,0.119,1.224
48,4.164,3,1.988,4,1.864,3,41,0.312,0.292,1.240,0.049,0.099,0.112,1.345
49,3.413,3,2.012,4,1.087,3,14,0.314,0.278,0.530,0.049,0.037,0.043,0.566
50,5.827,5,3.068,6,2.308,5,46,0.451,0.452,1.352,0.089,0.109,0.132,1.464
51,5.982,5,3.008,6,2.518,5,50,0.456,0.543,1.526,0.086,0.118,0.141,1.642
52,3.960,3,2.087,4,1.566,3,31,0.306,0.295,0.935,0.064,0.075,0.091,1.011
53,4.832,4,2.551,5,1.911,4,37,0.370,0.387,1.126,0.074,0.092,0.102,1.216
54,6.004,5,3.001,6,2.552,5,46,0.451,0.532,1.422,0.159,0.114,0.129,1.541
55,4.646,4,2.577,5,1.675,4,25,0.394,0.388,0.915,0.066,0.063,0.071,0.975
56,4.599,4,2.412,5,1.807,4,35,0.380,0.370,1.034,0.065,0.087,0.099,1.114
57,2.738,2,1.632,3,0.836,2,13,0.269,0.188,0.433,0.040,0.034,0.038,0.466
58,4.124,3,2.191,4,1.589,3,22,0.344,0.319,0.897,0.065,0.068,0.073,0.961
59,5.487,4,2.802,5,2.287,4,38,0.398,0.398,1.364,0.074,0.097,0.110,1.455
60,2.775,2,1.706,3,0.817,2,11,0.252,0.202,0.438,0.036,0.031,0.034,0.465
61,3.997,3,2.320,4,1.359,3,24,0.317,0.273,0.707,0.058,0.061,0.068,0.762
62,2.845,2,1.815,3,0.787,2,12,0.243,0.189,0.401,0.032,0.029,0.033,0.427
63,2.726,2,1.755,3,0.730,2,11,0.242,0.165,0.352,0.033,0.027,0.030,0.377
64,3.817,3,2.226,4,1.269,3,23,0.322,0.263,0.678,0.051,0.055,0.065,0.731
65,4.792,4,2.557,5,1.875,4,29,0.359,0.415,1.030,0.124,0.073,0.082,1.097
66,5.748,5,2.963,6,2.324,5,42,0.462,0.492,1.302,0.087,0.101,0.117,1.402
67,4.833,4,2.500,5,1.825,4,34,0.508,0.391,1.039,0.070,0.083,0.096,1.117
68,2.548,2,1.491,3,0.807,2,11,0.249,0.233,0.436,0.033,0.027,0.031,0.461
69,3.760,3,2.149,4,1.292,3,22,0.318,0.288,0.691,0.056,0.051,0.061,0.738
70,6.090,5,3.356,6,2.279,5,44,0.455,0.462,1.264,0.079,0.110,0.125,1.368
71,4.141,3,2.196,4,1.634,3,38,0.312,0.281,1.019,0.048,0.090,0.112,1.110
72,5.237,4,2.840,5,2.011,4,41,0.386,0.356,1.149,0.064,0.101,0.119,1.248
73,3.785,3,1.956,4,1.511,3,31,0.318,0.312,0.912,0.051,0.075,0.085,0.984
74,2.625,2,1.576,3,0.807,2,13,0.242,0.201,0.435,0.033,0.031,0.038,0.467
75,2.567,2,1.538,3,0.789,2,12,0.240,0.227,0.432,0.034,0.028,0.034,0.459
76,3.819,3,1.945,4,1.560,3,34,0.314,0.293,0.975,0.058,0.084,0.101,1.058
77,3.926,3,2.001,4,1.579,3,34,0.346,0.265,0.875,0.045,0.084,0.096,0.956
78,3.620,3,1.911,4,1.389,3,26,0.319,0.299,0.810,0.048,0.063,0.075,0.873
79,2.666,2,1.508,3,0.918,2,18,0.240,0.188,0.528,0.035,0.043,0.054,0.572
80,2.970,2,1.625,3,1.060,2,19,0.285,0.187,0.632,0.033,0.050,0.057,0.680
81,3.735,3,2.030,4,1.406,3,26,0.300,0.311,0.823,0.061,0.064,0.073,0.884
82,2.509,2,1.547,3,0.707,2,8,0.255,0.197,0.348,0.032,0.018,0.022,0.368
83,3.806,3,2.046,4,1.454,3,30,0.306,0.288,0.866,0.051,0.073,0.088,0.933
84,2.631,2,1.593,3,0.792,2,13,0.247,0.184,0.414,0.032,0.030,0.038,0.445
85,2.614,2,1.579,3,0.799,2,13,0.236,0.191,0.413,0.032,0.030,0.037,0.443
86,2.677,2,1.464,3,0.968,2,17,0.245,0.194,0.578,0.035,0.042,0.052,0.622
87,2.832,2,1.516,3,1.065,2,16,0.251,0.190,0.578,0.035,0.041,0.044,0.615
88,2.589,2,1.537,3,0.815,2,13,0.237,0.193,0.436,0.035,0.032,0.037,0.465
89,3.412,3,1.970,4,1.124,3,15,0.318,0.289,0.540,0.053,0.037,0.042,0.574
90,2.643,2,1.535,3,0.877,2,16,0.231,0.202,0.491,0.037,0.039,0.045,0.530
91,2.545,2,1.445,3,0.783,2,12,0.317,0.179,0.400,0.032,0.030,0.036,0.427
92,2.637,2,1.511,3,0.880,2,16,0.247,0.187,0.501,0.036,0.040,0.045,0.538
93,2.486,2,1.412,3,0.833,2,13,0.241,0.191,0.443,0.034,0.030,0.038,0.472
94,4.677,4,2.467,5,1.797,4,33,0.413,0.363,0.991,0.067,0.080,0.095,1.067
95,4.897,4,2.396,5,1.981,4,40,0.520,0.384,1.193,0.071,0.102,0.114,1.291
96,3.915,3,1.984,4,1.621,3,37,0.311,0.280,1.015,0.050,0.092,0.106,1.110
97,5.006,4,2.495,5,2.089,4,38,0.422,0.457,1.174,0.091,0.092,0.108,1.267
98,3.967,3,2.048,4,1.605,3,32,0.315,0.321,1.003,0.055,0.078,0.093,1.082
99,3.774,3,1.959,4,1.487,3,30,0.328,0.288,0.881,0.064,0.072,0.086,0.953
100,4.008,3,2.019,4,1.606,3,31,0.382,0.307,0.992,0.049,0.078,0.091,1.072
101,3.796,3,1.981,4,1.484,3,31,0.331,0.266,0.872,0.062,0.075,0.089,0.947
102,4.921,4,2.506,5,2.024,4,40,0.390,0.369,1.219,0.076,0.097,0.115,1.322
103,2.689,2,1.556,3,0.789,2,13,0.343,0.177,0.422,0.030,0.033,0.038,0.452
104,2.664,2,1.528,3,0.870,2,16,0.265,0.183,0.487,0.035,0.038,0.044,0.524
105,2.687,2,1.618,3,0.830,2,14,0.239,0.181,0.439,0.031,0.033,0.041,0.471
106,2.724,2,1.494,3,0.978,2,18,0.252,0.199,0.596,0.035,0.046,0.054,0.639
107,2.741,2,1.460,3,1.012,2,14,0.269,0.211,0.528,0.032,0.035,0.041,0.562
108,2.700,2,1.507,3,0.943,2,18,0.250,0.185,0.528,0.036,0.043,0.051,0.571
109,2.584,2,1.451,3,0.871,2,14,0.262,0.194,0.493,0.031,0.034,0.039,0.525
110,2.579,2,1.497,3,0.822,2,14,0.260,0.186,0.429,0.033,0.035,0.038,0.459
111,2.797,2,1.513,3,0.934,2,19,0.350,0.195,0.549,0.034,0.046,0.054,0.592
112,2.537,2,1.436,3,0.846,2,15,0.255,0.194,0.470,0.038,0.037,0.044,0.509
113,2.721,2,1.500,3,0.947,2,20,0.274,0.186,0.563,0.035,0.050,0.055,0.609
114,2.671,2,1.558,3,0.865,2,15,0.249,0.191,0.476,0.034,0.038,0.041,0.512
115,3.767,3,2.046,4,1.396,3,21,0.325,0.315,0.712,0.058,0.052,0.061,0.760
116,2.692,2,1.557,3,0.885,2,15,0.249,0.181,0.474,0.032,0.038,0.044,0.511
117,3.775,3,1.991,4,1.467,3,26,0.317,0.366,0.885,0.052,0.067,0.075,0.947
118,2.649,2,1.515,3,0.882,2,16,0.252,0.188,0.497,0.033,0.040,0.046,0.535
119,5.800,5,3.105,6,2.233,5,41,0.462,0.506,1.272,0.087,0.105,0.116,1.368
120,5.914,5,3.057,6,2.391,5,46,0.466,0.488,1.388,0.100,0.112,0.133,1.497
121,4.005,3,2.054,4,1.608,3,30,0.343,0.290,0.882,0.051,0.075,0.085,0.955
122,4.101,3,2.224,4,1.533,3,32,0.345,0.288,0.917,0.053,0.080,0.090,0.992
123,2.838,2,1.729,3,0.840,2,15,0.269,0.187,0.444,0.034,0.037,0.043,0.479
124,5.424,4,2.985,5,2.037,4,41,0.402,0.379,1.189,0.070,0.103,0.120,1.286
125,3.748,3,2.024,4,1.402,3,26,0.322,0.329,0.825,0.054,0.063,0.075,0.887
126,2.659,2,1.483,3,0.918,2,14,0.258,0.236,0.532,0.034,0.035,0.041,0.566
127,3.791,3,1.953,4,1.470,3,27,0.368,0.276,0.795,0.054,0.067,0.076,0.859
128,4.977,4,2.459,5,2.070,4,44,0.448,0.376,1.277,0.071,0.110,0.126,1.382
129,3.948,3,1.989,4,1.617,3,35,0.343,0.309,1.005,0.053,0.087,0.102,1.088
130,3.980,3,1.921,4,1.707,3,35,0.353,0.284,1.073,0.051,0.088,0.109,1.179
131,3.960,3,1.977,4,1.647,3,38,0.336,0.266,1.014,0.053,0.095,0.111,1.112
132,2.767,2,1.543,3,0.961,2,18,0.263,0.184,0.557,0.033,0.044,0.054,0.601
133,2.627,2,1.525,3,0.845,2,13,0.257,0.201,0.442,0.039,0.032,0.035,0.470
134,2.924,2,1.673,3,0.882,2,16,0.369,0.188,0.488,0.035,0.039,0.047,0.525
135,3.867,3,2.022,4,1.522,3,31,0.323,0.284,0.917,0.055,0.079,0.089,0.992
136,2.870,2,1.576,3,1.018,2,20,0.275,0.190,0.592,0.042,0.049,0.057,0.638
137,3.976,3,2.060,4,1.461,3,31,0.455,0.283,0.871,0.053,0.077,0.088,0.948
138,2.778,2,1.549,3,0.964,2,17,0.265,0.196,0.581,0.031,0.043,0.050,0.622
139,3.884,3,2.046,4,1.489,3,27,0.348,0.290,0.810,0.051,0.067,0.081,0.877
140,3.969,3,2.195,4,1.423,3,29,0.351,0.284,0.822,0.058,0.071,0.084,0.892
141,2.661,2,1.442,3,0.948,2,18,0.271,0.219,0.551,0.039,0.045,0.050,0.591
142,8.874,7,4.783,12,3.141,7,44,0.950,0.692,1.591,0.188,0.110,0.127,1.701
143,9.100,7,5.019,11,3.221,7,53,0.859,0.678,1.742,0.203,0.133,0.151,1.871
144,4.174,3,2.384,4,1.461,3,26,0.329,0.267,0.833,0.052,0.069,0.078,0.900
145,3.701,3,2.059,4,1.317,3,27,0.325,0.247,0.731,0.054,0.069,0.079,0.794
146,3.978,3,2.001,4,1.657,3,34,0.320,0.334,1.042,0.054,0.086,0.102,1.129
147,2.745,2,1.523,3,0.954,2,19,0.268,0.195,0.548,0.037,0.047,0.055,0.594
148,2.727,2,1.550,3,0.812,2,14,0.364,0.180,0.424,0.031,0.034,0.042,0.457
