step,time_days,date,dt_days,converged,nonlinear_iters,wall_s,well,status,qO_sm3d,qW_sm3d,qG_sm3d,bhp_bar
1,8.000,1999-09-09,8.000,1,11,13.44,D-1H,1,-3427.221154,-3.543357,-372158.158529,225.000000
2,25.000,1999-09-26,17.000,1,25,31.68,C-4H,1,0.000000,3184.763004,0.000000,400.000000
2,25.000,1999-09-26,17.000,1,25,31.68,D-1H,1,-3313.218806,-3.511751,-359298.038214,225.000000
3,41.000,1999-10-12,16.000,1,9,11.11,B-2H,1,-7816.021126,-3.731126,-844816.041266,225.000000
3,41.000,1999-10-12,16.000,1,9,11.11,C-4H,1,0.000000,4080.566568,0.000000,400.000000
3,41.000,1999-10-12,16.000,1,9,11.11,D-1H,1,-3017.750457,-3.293970,-326965.422566,225.000000
4,56.000,1999-10-27,15.000,1,11,13.46,B-2H,1,-6881.198006,-3.384335,-743232.786829,225.000000
4,56.000,1999-10-27,15.000,1,11,13.46,C-4H,1,0.000000,4625.227981,0.000000,400.000000
4,56.000,1999-10-27,15.000,1,11,13.46,D-1H,1,-2505.413313,-2.839149,-270759.800532,225.000000
4,56.000,1999-10-27,15.000,1,11,13.46,D-2H,1,-10066.046761,-15.564570,-1088247.000812,225.000000
5,87.000,1999-11-27,31.000,1,10,12.78,B-2H,1,-5806.195489,-3.065227,-626202.079488,225.000000
5,87.000,1999-11-27,31.000,1,10,12.78,C-4H,1,0.000000,5294.241370,0.000000,400.000000
5,87.000,1999-11-27,31.000,1,10,12.78,D-1H,1,-1929.280847,-2.476394,-206237.477704,225.000000
5,87.000,1999-11-27,31.000,1,10,12.78,D-2H,1,-7817.609766,-11.105380,-836826.228441,225.000000
6,115.000,1999-12-25,28.000,1,7,8.87,B-2H,1,-5167.753108,-2.939736,-554404.770037,225.000000
6,115.000,1999-12-25,28.000,1,7,8.87,C-4H,1,0.000000,5687.434546,0.000000,400.000000
6,115.000,1999-12-25,28.000,1,7,8.87,D-1H,1,-1647.924522,-2.393441,-174913.526105,225.000000
6,115.000,1999-12-25,28.000,1,7,8.87,D-2H,1,-6853.319666,-9.507412,-727222.354549,225.000000
7,143.000,2000-01-22,28.000,1,4,4.89,B-2H,1,-4678.394554,-2.857023,-499148.198921,225.000000
7,143.000,2000-01-22,28.000,1,4,4.89,C-4H,1,0.000000,5921.433907,0.000000,400.000000
7,143.000,2000-01-22,28.000,1,4,4.89,D-1H,1,-1464.408996,-2.524007,-154657.358667,225.000000
7,143.000,2000-01-22,28.000,1,4,4.89,D-2H,1,-6245.814776,-8.637786,-658981.416399,225.000000
8,144.000,2000-01-23,1.000,1,2,2.84,B-2H,1,-4662.287238,-2.854276,-497337.601020,225.000000
8,144.000,2000-01-23,1.000,1,2,2.84,C-4H,1,0.000000,5930.862795,0.000000,400.000000
8,144.000,2000-01-23,1.000,1,2,2.84,D-1H,1,-1458.218254,-2.528030,-153977.221252,225.000000
8,144.000,2000-01-23,1.000,1,2,2.84,D-2H,1,-6225.476234,-8.608533,-656704.720213,225.000000
9,146.000,2000-01-25,2.000,1,3,3.46,B-2H,1,-4630.323759,-2.848789,-493736.396932,225.000000
9,146.000,2000-01-25,2.000,1,3,3.46,C-4H,1,0.000000,5949.634155,0.000000,400.000000
9,146.000,2000-01-25,2.000,1,3,3.46,D-1H,1,-1446.235544,-2.536485,-152656.153665,225.000000
9,146.000,2000-01-25,2.000,1,3,3.46,D-2H,1,-6186.203515,-8.551993,-652351.970405,225.000000
10,168.000,2000-02-16,22.000,1,3,3.79,B-2H,1,-4324.844292,-2.793082,-459450.632693,225.000000
10,168.000,2000-02-16,22.000,1,3,3.79,C-4H,1,0.000000,6000.000000,0.000000,397.957725
10,168.000,2000-02-16,22.000,1,3,3.79,D-1H,1,-1337.861951,-2.626999,-140874.490945,225.000000
10,168.000,2000-02-16,22.000,1,3,3.79,D-2H,1,-5831.566918,-8.042428,-613128.818004,225.000000
11,176.000,2000-02-24,8.000,1,4,5.02,B-2H,1,-4111.626300,-2.710513,-435416.646672,225.000000
11,176.000,2000-02-24,8.000,1,4,5.02,B-4H,1,-7413.512535,-2.843293,-775264.496442,225.000000
11,176.000,2000-02-24,8.000,1,4,5.02,C-4H,1,0.000000,6000.000000,0.000000,396.738279
11,176.000,2000-02-24,8.000,1,4,5.02,D-1H,1,-1285.831655,-2.621053,-135458.520261,225.000000
11,176.000,2000-02-24,8.000,1,4,5.02,D-2H,1,-5559.090094,-7.737661,-583385.469479,225.000000
12,201.000,2000-03-20,25.000,1,12,23.81,B-2H,1,-3604.757029,-2.506338,-378802.247727,225.000000
12,201.000,2000-03-20,25.000,1,12,23.81,B-4H,1,-6213.117635,-2.128234,-647359.186502,225.000000
12,201.000,2000-03-20,25.000,1,12,23.81,C-4H,1,0.000000,6000.000000,0.000000,393.712808
12,201.000,2000-03-20,25.000,1,12,23.81,D-1H,1,-1134.513349,-2.548837,-119142.060862,225.000000
12,201.000,2000-03-20,25.000,1,12,23.81,D-2H,1,-4916.709546,-6.877928,-513740.847659,225.000000
13,202.000,2000-03-21,1.000,1,2,2.83,B-2H,1,-3586.721659,-2.498822,-376868.117615,225.000000
13,202.000,2000-03-21,1.000,1,2,2.83,B-4H,1,-6171.977170,-2.103359,-643426.568441,225.000000
13,202.000,2000-03-21,1.000,1,2,2.83,C-4H,1,0.000000,6000.000000,0.000000,393.594616
13,202.000,2000-03-21,1.000,1,2,2.83,D-1H,1,-1129.021800,-2.545779,-118552.559714,225.000000
13,202.000,2000-03-21,1.000,1,2,2.83,D-2H,1,-4893.250516,-6.845948,-511209.847813,225.000000
14,207.000,2000-03-26,5.000,1,3,4.43,B-2H,1,-3503.628694,-2.463655,-367878.855857,225.000000
14,207.000,2000-03-26,5.000,1,3,4.43,B-4H,1,-6010.465522,-1.995117,-627164.454330,225.000000
14,207.000,2000-03-26,5.000,1,3,4.43,C-4H,1,0.000000,6000.000000,0.000000,392.993165
14,207.000,2000-03-26,5.000,1,3,4.43,D-1H,1,-1102.344197,-2.529916,-115674.158861,225.000000
14,207.000,2000-03-26,5.000,1,3,4.43,D-2H,1,-4785.888445,-6.694499,-499576.622538,225.000000
15,220.000,2000-04-08,13.000,1,4,5.80,B-2H,1,-3324.432066,-2.385624,-348282.867807,225.000000
15,220.000,2000-04-08,13.000,1,4,5.80,B-4H,1,-5706.433201,-1.822881,-594768.860117,225.000000
15,220.000,2000-04-08,13.000,1,4,5.80,C-4H,1,0.000000,6000.000000,0.000000,391.474146
15,220.000,2000-04-08,13.000,1,4,5.80,D-1H,1,-1041.067807,-2.502407,-109013.038424,225.000000
15,220.000,2000-04-08,13.000,1,4,5.80,D-2H,1,-4552.076729,-6.348174,-474003.581575,225.000000
16,229.000,2000-04-17,9.000,1,4,4.79,B-2H,1,-3144.021625,-2.294194,-328510.271505,225.000000
16,229.000,2000-04-17,9.000,1,4,4.79,B-4H,1,-5485.323851,-1.718022,-570823.133162,225.000000
16,229.000,2000-04-17,9.000,1,4,4.79,C-4H,1,0.000000,6000.000000,0.000000,390.423237
16,229.000,2000-04-17,9.000,1,4,4.79,D-1H,1,-998.667115,-2.487896,-104405.601781,225.000000
16,229.000,2000-04-17,9.000,1,4,4.79,D-2H,1,-4394.136337,-6.118782,-456742.197209,225.000000
