step,time_days,date,dt_days,converged,nonlinear_iters,wall_s,well,status,qO_sm3d,qW_sm3d,qG_sm3d,bhp_bar
1,7.000,1999-09-08,7.000,0,90,103.51,WELL1,1,-6959.589199,-1.031021,-710096.594263,1.013250
1,7.000,1999-09-08,7.000,0,90,103.51,WELL2,1,-3191.868294,-0.861706,-338821.318292,29.925323
1,7.000,1999-09-08,7.000,0,90,103.51,WELL3,1,-3146.668663,-0.861337,-337275.209348,30.066341
1,7.000,1999-09-08,7.000,0,90,103.51,WELL4,1,-3072.881253,-0.848747,-332052.084084,32.158585
1,7.000,1999-09-08,7.000,0,90,103.51,WELL5,1,-3120.959818,-0.850182,-333874.483734,31.844270
1,7.000,1999-09-08,7.000,0,90,103.51,WELL6,1,0.000000,390.903190,0.000000,6895.000000
1,7.000,1999-09-08,7.000,0,90,103.51,WELL7,1,0.000000,470.804832,0.000000,6895.000000
1,7.000,1999-09-08,7.000,0,90,103.51,WELL8,1,0.000000,467.318028,0.000000,6895.000000
1,7.000,1999-09-08,7.000,0,90,103.51,WELL9,1,0.000000,392.721598,0.000000,6895.000000
2,14.000,1999-09-15,7.000,0,0,13.83,WELL1,1,-0.000000,-0.000000,-0.000000,123.955569
2,14.000,1999-09-15,7.000,0,0,13.83,WELL2,1,-0.000000,-0.000000,-0.000000,119.012482
2,14.000,1999-09-15,7.000,0,0,13.83,WELL3,1,-0.000000,-0.000000,-0.000000,118.547748
2,14.000,1999-09-15,7.000,0,0,13.83,WELL4,1,-0.000000,-0.000000,-0.000000,118.705393
2,14.000,1999-09-15,7.000,0,0,13.83,WELL5,1,-0.000000,-0.000000,-0.000000,119.116400
2,14.000,1999-09-15,7.000,0,0,13.83,WELL6,1,0.000000,10553.720000,0.000000,994.277024
2,14.000,1999-09-15,7.000,0,0,13.83,WELL7,1,0.000000,5973.530000,0.000000,1352.324186
2,14.000,1999-09-15,7.000,0,0,13.83,WELL8,1,0.000000,6136.160000,0.000000,1357.509903
2,14.000,1999-09-15,7.000,0,0,13.83,WELL9,1,0.000000,10262.350000,0.000000,987.664142
3,21.000,1999-09-22,7.000,0,0,13.93,WELL1,1,-0.000000,-0.000000,-0.000000,123.955569
3,21.000,1999-09-22,7.000,0,0,13.93,WELL2,1,-0.000000,-0.000000,-0.000000,119.012482
3,21.000,1999-09-22,7.000,0,0,13.93,WELL3,1,-0.000000,-0.000000,-0.000000,118.547748
3,21.000,1999-09-22,7.000,0,0,13.93,WELL4,1,-0.000000,-0.000000,-0.000000,118.705393
3,21.000,1999-09-22,7.000,0,0,13.93,WELL5,1,-0.000000,-0.000000,-0.000000,119.116400
3,21.000,1999-09-22,7.000,0,0,13.93,WELL6,1,0.000000,10383.400000,0.000000,994.277024
3,21.000,1999-09-22,7.000,0,0,13.93,WELL7,1,0.000000,5925.080000,0.000000,1352.324186
3,21.000,1999-09-22,7.000,0,0,13.93,WELL8,1,0.000000,6112.220000,0.000000,1357.509903
3,21.000,1999-09-22,7.000,0,0,13.93,WELL9,1,0.000000,10088.770000,0.000000,987.664142
1,7.000,2000-01-08,7.000,0,331,541.34,WELL1,1,-6959.606673,-1.031025,-710094.298745,1.013250
1,7.000,2000-01-08,7.000,0,331,541.34,WELL2,1,-3191.717507,-0.861674,-338800.880131,29.930438
1,7.000,2000-01-08,7.000,0,331,541.34,WELL3,1,-3146.505912,-0.861302,-337252.984537,30.071899
1,7.000,2000-01-08,7.000,0,331,541.34,WELL4,1,-3072.710689,-0.848710,-332028.672635,32.164422
1,7.000,2000-01-08,7.000,0,331,541.34,WELL5,1,-3120.800945,-0.850148,-333852.848313,31.849671
1,7.000,2000-01-08,7.000,0,331,541.34,WELL6,1,0.000000,390.903046,0.000000,6895.000000
1,7.000,2000-01-08,7.000,0,331,541.34,WELL7,1,0.000000,470.804609,0.000000,6895.000000
1,7.000,2000-01-08,7.000,0,331,541.34,WELL8,1,0.000000,467.317806,0.000000,6895.000000
1,7.000,2000-01-08,7.000,0,331,541.34,WELL9,1,0.000000,392.721457,0.000000,6895.000000
1,7.000,2000-01-08,7.000,1,33,54.08,WELL1,1,-7182.925795,-1037.314205,-700807.852506,45.065219
1,7.000,2000-01-08,7.000,1,33,54.08,WELL2,1,-2472.656859,-720.073141,-241144.624978,87.250258
1,7.000,2000-01-08,7.000,1,33,54.08,WELL3,1,-2432.568230,-714.961770,-236447.658047,86.839560
1,7.000,2000-01-08,7.000,1,33,54.08,WELL4,1,-2376.862437,-696.867563,-230686.115593,88.722787
1,7.000,2000-01-08,7.000,1,33,54.08,WELL5,1,-2414.141361,-707.668639,-234791.693871,88.022867
1,7.000,2000-01-08,7.000,1,33,54.08,WELL6,1,0.000000,11012.530000,0.000000,352.331873
1,7.000,2000-01-08,7.000,1,33,54.08,WELL7,1,0.000000,6239.370000,0.000000,343.624338
1,7.000,2000-01-08,7.000,1,33,54.08,WELL8,1,0.000000,6383.940000,0.000000,343.491831
1,7.000,2000-01-08,7.000,1,33,54.08,WELL9,1,0.000000,10740.980000,0.000000,352.578333
2,14.000,2000-01-15,7.000,1,13,24.95,WELL1,1,-8495.213153,-1214.026847,-869792.839064,1.810082
