step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
1,1.282,40,0.646,44,0.549,40,40,0.088,0.000,0.000,0.000,0.000,0.000,0.000
2,3.136,83,1.685,175,1.198,83,83,0.253,0.000,0.000,0.000,0.000,0.000,0.000
3,2.374,74,1.218,151,0.972,74,74,0.183,0.000,0.000,0.000,0.000,0.000,0.000
4,2.599,76,1.335,157,1.040,76,76,0.224,0.000,0.000,0.000,0.000,0.000,0.000
5,2.505,84,1.072,91,1.293,84,84,0.141,0.000,0.000,0.000,0.000,0.000,0.000
6,1.778,62,0.800,77,0.856,62,62,0.123,0.000,0.000,0.000,0.000,0.000,0.000
7,0.330,11,0.150,13,0.156,11,11,0.024,0.000,0.000,0.000,0.000,0.000,0.000
8,0.475,12,0.215,16,0.225,12,12,0.036,0.000,0.000,0.000,0.000,0.000,0.000
9,0.224,8,0.094,9,0.114,8,8,0.016,0.000,0.000,0.000,0.000,0.000,0.000
10,0.150,5,0.067,6,0.070,5,5,0.013,0.000,0.000,0.000,0.000,0.000,0.000
11,0.100,3,0.048,4,0.043,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
12,0.200,6,0.083,7,0.100,6,6,0.016,0.000,0.000,0.000,0.000,0.000,0.000
13,0.108,3,0.052,4,0.050,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
14,0.101,3,0.052,4,0.044,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
15,0.111,3,0.054,4,0.049,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
16,0.118,3,0.057,4,0.052,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
17,0.103,3,0.046,4,0.050,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
18,0.102,3,0.047,4,0.048,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
19,0.097,3,0.044,4,0.046,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
20,0.103,3,0.051,4,0.045,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
21,0.095,3,0.042,4,0.043,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
22,0.106,3,0.050,4,0.048,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
23,0.106,3,0.051,4,0.046,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
24,0.095,3,0.045,4,0.044,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
25,0.100,3,0.047,4,0.044,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
26,0.090,3,0.042,4,0.042,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
27,0.118,3,0.052,4,0.058,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
28,0.094,3,0.040,4,0.045,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
29,0.093,3,0.044,4,0.043,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
30,0.097,3,0.046,4,0.043,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
31,0.102,3,0.050,4,0.044,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
32,0.095,3,0.044,4,0.044,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
33,0.123,3,0.056,4,0.061,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
34,0.142,3,0.074,4,0.059,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
35,0.160,3,0.078,4,0.070,3,3,0.012,0.000,0.000,0.000,0.000,0.000,0.000
36,0.120,3,0.057,4,0.052,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
37,0.106,3,0.050,4,0.047,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
38,0.124,3,0.060,4,0.056,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
39,0.134,3,0.057,4,0.070,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
40,0.115,3,0.054,4,0.052,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
41,0.127,3,0.056,4,0.065,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
42,0.119,3,0.054,4,0.057,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
43,0.115,3,0.057,4,0.049,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
44,0.113,3,0.055,4,0.047,3,3,0.011,0.000,0.000,0.000,0.000,0.000,0.000
45,0.108,3,0.049,4,0.049,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
46,0.105,3,0.051,4,0.045,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
47,0.127,3,0.056,4,0.062,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
48,0.109,3,0.045,4,0.057,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
49,0.094,3,0.045,4,0.043,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
50,0.113,3,0.057,4,0.049,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
51,0.096,3,0.042,4,0.046,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
52,0.104,3,0.045,4,0.047,3,3,0.012,0.000,0.000,0.000,0.000,0.000,0.000
53,0.109,3,0.054,4,0.048,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
54,0.098,3,0.045,4,0.045,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
55,0.103,3,0.051,4,0.046,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
