step,time_days,date,dt_days,converged,nonlinear_iters,wall_s,well,status,qO_sm3d,qW_sm3d,qG_sm3d,bhp_bar
1,30.000,1999-10-01,30.000,1,22,94.23,3-4-216,1,-42.266327,-0.044673,-0.000000,259.085754
2,61.000,1999-11-01,31.000,1,8,32.19,3-4-216,1,-79.377468,-0.144532,-0.000000,252.796480
3,91.000,1999-12-01,30.000,1,4,15.13,3-4-216,1,-78.376844,-0.133156,-0.000000,252.816760
1,30.000,1999-10-01,30.000,1,22,93.91,3-4-216,1,-42.266327,-0.044673,-0.000000,259.085754
2,61.000,1999-11-01,31.000,1,8,34.24,3-4-216,1,-79.377468,-0.144532,-0.000000,252.796480
1,30.000,1999-10-01,30.000,0,36,59.41,3-4-216,1,-0.000000,-0.000000,-0.000000,260.920400
1,30.000,1999-10-01,30.000,0,36,61.38,3-4-216,1,-0.000000,-0.000000,-0.000000,260.920400
2,61.000,1999-11-01,31.000,0,84,129.20,3-4-216,1,-0.000000,-0.000000,-0.000000,260.920400
1,30.000,1999-10-01,30.000,1,22,53.79,3-4-216,1,-42.266326,-0.044674,-0.000000,259.085750
2,61.000,1999-11-01,31.000,1,8,17.75,3-4-216,1,-79.377468,-0.144532,-0.000000,252.796476
3,91.000,1999-12-01,30.000,1,4,8.68,3-4-216,1,-78.376843,-0.133157,-0.000000,252.816756
1,30.000,1999-10-01,30.000,1,22,109.82,3-4-216,1,-42.266327,-0.044673,-0.000000,259.085759
2,61.000,1999-11-01,31.000,1,8,18.97,3-4-216,1,-79.377469,-0.144531,-0.000000,252.796485
3,91.000,1999-12-01,30.000,1,4,8.76,3-4-216,1,-78.376843,-0.133157,-0.000000,252.816764
1,30.000,1999-10-01,30.000,1,22,43.03,3-4-216,1,-42.266327,-0.044673,-0.000000,259.085754
2,61.000,1999-11-01,31.000,1,8,15.63,3-4-216,1,-79.377468,-0.144532,-0.000000,252.796480
3,91.000,1999-12-01,30.000,1,4,8.01,3-4-216,1,-78.376844,-0.133156,-0.000000,252.816760
1,30.000,1999-10-01,30.000,1,22,44.44,3-4-216,1,-42.266327,-0.044673,-0.000000,259.085754
2,61.000,1999-11-01,31.000,1,8,16.25,3-4-216,1,-79.377468,-0.144532,-0.000000,252.796480
3,91.000,1999-12-01,30.000,1,4,8.32,3-4-216,1,-78.376844,-0.133156,-0.000000,252.816760
1,30.000,1999-10-01,30.000,1,22,63.18,3-4-216,1,-42.266327,-0.044673,-0.000000,259.085754
2,61.000,1999-11-01,31.000,1,8,20.63,3-4-216,1,-79.377468,-0.144532,-0.000000,252.796480
3,91.000,1999-12-01,30.000,1,4,9.43,3-4-216,1,-78.376844,-0.133156,-0.000000,252.816760
1,30.000,1999-10-01,30.000,1,22,43.46,3-4-216,1,-42.266327,-0.044673,-0.000000,259.085754
2,61.000,1999-11-01,31.000,1,8,15.96,3-4-216,1,-79.377468,-0.144532,-0.000000,252.796480
3,91.000,1999-12-01,30.000,1,4,8.30,3-4-216,1,-78.376844,-0.133156,-0.000000,252.816760
1,30.000,1999-10-01,30.000,1,22,41.06,3-4-216,1,-42.266327,-0.044673,-0.000000,259.085754
2,61.000,1999-11-01,31.000,1,8,15.76,3-4-216,1,-79.377468,-0.144532,-0.000000,252.796480
3,91.000,1999-12-01,30.000,1,4,8.08,3-4-216,1,-78.376844,-0.133156,-0.000000,252.816760
