init: 64.3 s, cells=190989, steps=388
step 1/388: conv=True iters=41 wall=106.84 s
step 2/388: conv=True iters=6 wall=15.16 s
step 3/388: conv=True iters=4 wall=10.04 s
step 4/388: conv=True iters=3 wall=7.91 s
step 5/388: conv=True iters=2 wall=5.47 s
step 6/388: conv=True iters=7 wall=15.71 s
step 7/388: conv=True iters=4 wall=9.57 s
step 8/388: conv=True iters=2 wall=5.23 s
step 9/388: conv=True iters=5 wall=12.39 s
step 10/388: conv=True iters=2 wall=5.22 s
step 11/388: conv=True iters=2 wall=5.19 s
step 12/388: conv=True iters=6 wall=14.61 s
step 13/388: conv=True iters=2 wall=5.35 s
step 14/388: conv=True iters=3 wall=7.82 s
step 15/388: conv=True iters=4 wall=10.92 s
step 16/388: conv=True iters=4 wall=9.53 s
step 17/388: conv=True iters=1 wall=2.93 s
step 18/388: conv=True iters=2 wall=5.02 s
step 19/388: conv=True iters=4 wall=9.96 s
step 20/388: conv=True iters=4 wall=9.70 s
step 21/388: conv=True iters=3 wall=7.45 s
step 22/388: conv=True iters=3 wall=6.65 s
step 23/388: conv=True iters=4 wall=10.04 s
step 24/388: conv=True iters=3 wall=7.50 s
step 25/388: conv=True iters=2 wall=5.26 s
step 26/388: conv=True iters=2 wall=5.25 s
step 27/388: conv=True iters=1 wall=3.35 s
step 28/388: conv=True iters=1 wall=3.19 s
step 29/388: conv=True iters=5 wall=12.66 s
step 30/388: conv=True iters=1 wall=3.40 s
step 31/388: conv=True iters=4 wall=9.69 s
step 32/388: conv=True iters=2 wall=5.31 s
step 33/388: conv=True iters=2 wall=5.78 s
step 34/388: conv=True iters=3 wall=7.71 s
step 35/388: conv=True iters=2 wall=5.08 s
step 36/388: conv=True iters=1 wall=3.25 s
step 37/388: conv=True iters=4 wall=10.34 s
step 38/388: conv=True iters=1 wall=3.26 s
step 39/388: conv=True iters=3 wall=7.52 s
step 40/388: conv=True iters=2 wall=5.33 s
step 41/388: conv=True iters=2 wall=5.20 s
step 42/388: conv=True iters=2 wall=5.31 s
step 43/388: conv=True iters=3 wall=7.82 s
step 44/388: conv=True iters=2 wall=5.16 s
step 45/388: conv=True iters=2 wall=5.70 s
step 46/388: conv=True iters=1 wall=3.31 s
step 47/388: conv=True iters=2 wall=5.45 s
step 48/388: conv=True iters=1 wall=3.40 s
step 49/388: conv=True iters=5 wall=11.64 s
step 50/388: conv=True iters=3 wall=7.79 s
step 51/388: conv=True iters=1 wall=3.24 s
step 52/388: conv=True iters=3 wall=7.10 s
step 53/388: conv=True iters=4 wall=9.51 s
step 54/388: conv=True iters=2 wall=5.31 s
step 55/388: conv=True iters=2 wall=5.43 s
step 56/388: conv=True iters=3 wall=7.57 s
step 57/388: conv=True iters=3 wall=7.40 s
step 58/388: conv=True iters=4 wall=9.80 s
step 59/388: conv=True iters=2 wall=5.26 s
step 60/388: conv=True iters=1 wall=3.45 s
step 61/388: conv=True iters=3 wall=8.17 s
step 62/388: conv=True iters=4 wall=9.55 s
step 63/388: conv=True iters=4 wall=9.68 s
step 64/388: conv=True iters=3 wall=7.58 s
step 65/388: conv=True iters=5 wall=10.37 s
step 66/388: conv=True iters=3 wall=7.37 s
step 67/388: conv=True iters=3 wall=7.63 s
step 68/388: conv=True iters=5 wall=10.94 s
step 69/388: conv=True iters=3 wall=8.01 s
step 70/388: conv=True iters=3 wall=7.02 s
step 71/388: conv=True iters=5 wall=11.37 s
step 72/388: conv=True iters=3 wall=7.90 s
step 73/388: conv=True iters=3 wall=7.65 s
step 74/388: conv=True iters=5 wall=12.53 s
step 75/388: conv=True iters=4 wall=10.05 s
step 76/388: conv=True iters=4 wall=9.84 s
step 77/388: conv=True iters=3 wall=7.96 s
step 78/388: conv=True iters=2 wall=5.81 s
step 79/388: conv=True iters=3 wall=8.23 s
step 80/388: conv=True iters=5 wall=11.87 s
step 81/388: conv=True iters=3 wall=8.03 s
step 82/388: conv=True iters=5 wall=12.28 s
step 83/388: conv=True iters=3 wall=9.19 s
step 84/388: conv=True iters=5 wall=13.46 s
step 85/388: conv=True iters=4 wall=10.99 s
step 86/388: conv=True iters=3 wall=8.05 s
step 87/388: conv=True iters=4 wall=10.84 s
step 88/388: conv=True iters=2 wall=5.45 s
step 89/388: conv=True iters=4 wall=9.20 s
step 90/388: conv=True iters=3 wall=7.92 s
step 91/388: conv=True iters=3 wall=7.73 s
step 92/388: conv=True iters=9 wall=20.78 s
step 93/388: conv=True iters=6 wall=14.48 s
step 94/388: conv=True iters=2 wall=5.38 s
step 95/388: conv=True iters=4 wall=11.05 s
step 96/388: conv=True iters=9 wall=18.64 s
step 97/388: conv=True iters=3 wall=7.90 s
step 98/388: conv=True iters=4 wall=9.72 s
step 99/388: conv=True iters=6 wall=13.73 s
step 100/388: conv=True iters=4 wall=10.67 s
step 101/388: conv=True iters=2 wall=5.67 s
step 102/388: conv=True iters=3 wall=7.98 s
