step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
1,44.718,22,19.484,28,22.139,22,129,3.095,7.775,13.986,0.432,0.453,0.696,14.638
2,16.587,8,6.678,10,8.756,8,56,1.153,2.970,5.725,0.167,0.195,0.301,6.004
3,11.814,4,3.335,5,7.351,4,30,1.128,2.308,5.270,0.110,0.154,0.224,5.459
4,6.546,3,2.711,4,3.386,3,22,0.450,1.140,2.190,0.066,0.076,0.113,2.304
5,4.424,2,2.162,3,1.916,2,13,0.346,0.643,1.201,0.039,0.045,0.068,1.267
6,12.121,6,4.756,7,6.649,6,55,0.716,1.918,4.354,0.122,0.184,0.283,4.630
7,8.476,4,3.684,5,4.257,4,33,0.535,1.325,2.775,0.082,0.113,0.176,2.945
8,4.763,2,2.374,3,1.939,2,12,0.450,0.655,1.185,0.043,0.042,0.063,1.242
9,9.924,5,4.426,6,4.865,5,33,0.633,1.605,3.023,0.094,0.114,0.176,3.184
10,4.865,2,2.643,3,1.847,2,10,0.375,0.695,1.118,0.039,0.035,0.054,1.167
11,4.706,2,2.364,3,1.875,2,11,0.467,0.672,1.151,0.040,0.041,0.060,1.205
12,13.068,6,5.772,7,6.549,6,40,0.747,2.165,4.224,0.122,0.152,0.222,4.435
13,5.012,2,2.517,3,2.132,2,11,0.363,0.707,1.385,0.041,0.041,0.062,1.441
14,7.627,3,3.541,4,3.582,3,24,0.504,1.162,2.342,0.059,0.091,0.136,2.470
15,10.093,4,4.523,5,4.961,4,35,0.610,1.423,3.274,0.077,0.128,0.193,3.463
16,37.493,4,3.934,5,32.980,4,454,0.580,1.468,28.059,0.080,1.774,2.476,31.438
17,5.232,2,2.628,3,2.230,2,11,0.373,0.758,1.317,0.050,0.043,0.065,1.372
18,5.027,2,2.564,3,2.054,2,12,0.409,0.744,1.291,0.038,0.046,0.067,1.352
19,173.842,20,19.127,24,152.223,20,2334,2.492,7.021,128.423,0.422,9.082,12.588,144.746
20,14.622,5,6.003,7,7.838,5,77,0.781,1.748,5.581,0.111,0.307,0.441,6.069
21,15.436,4,4.173,5,10.723,4,141,0.540,1.336,8.267,0.092,0.556,0.806,9.249
