step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
1,45.672,22,18.338,30,24.072,22,264,3.262,10.236,15.068,0.459,0.995,3.480,16.753
2,16.139,8,6.336,10,8.754,8,100,1.049,3.732,5.552,0.147,0.431,1.312,6.186
3,8.138,4,3.066,5,4.522,4,60,0.549,1.825,2.894,0.072,0.224,0.746,3.269
4,6.574,3,2.554,4,3.488,3,47,0.532,1.392,2.229,0.055,0.165,0.587,2.526
5,4.497,2,2.059,3,2.088,2,20,0.351,0.973,1.302,0.039,0.070,0.260,1.418
6,15.400,6,5.140,9,9.262,6,166,0.997,2.795,5.948,0.110,0.617,2.041,7.198
7,9.837,4,3.605,5,5.653,4,71,0.579,2.018,3.548,0.083,0.302,1.009,4.184
8,4.977,2,2.165,3,2.443,2,30,0.368,0.954,1.553,0.046,0.118,0.413,1.766
9,13.339,5,5.013,6,7.553,5,72,0.773,3.019,4.727,0.142,0.386,1.142,5.351
10,5.712,2,2.480,3,2.778,2,20,0.455,1.307,1.789,0.107,0.133,0.322,1.949
11,5.136,2,2.370,3,2.378,2,19,0.388,1.136,1.468,0.054,0.080,0.269,1.588
12,12.156,6,4.656,7,6.769,6,73,0.731,2.784,4.165,0.112,0.280,0.996,4.666
13,4.825,2,2.292,3,2.138,2,21,0.395,0.945,1.315,0.040,0.082,0.283,1.447
14,6.846,3,2.709,4,3.666,3,46,0.471,1.410,2.307,0.058,0.205,0.602,2.641
15,8.902,4,3.577,5,4.772,4,60,0.553,1.827,2.957,0.077,0.247,0.799,3.379
16,37.021,4,3.108,5,33.329,4,395,0.585,1.947,27.097,0.106,2.394,4.597,31.609
17,2.944,1,1.487,2,1.169,1,5,0.288,0.458,0.730,0.022,0.018,0.028,0.760
18,4.313,2,2.099,3,1.844,2,11,0.370,0.647,1.094,0.039,0.041,0.060,1.150
19,60.217,5,3.917,6,55.691,5,836,0.608,1.647,47.884,0.108,3.271,4.497,53.835
20,142.071,16,13.945,20,125.938,16,1684,2.188,5.649,106.647,0.347,7.106,9.666,119.616
21,15.448,5,5.170,7,9.398,5,72,0.880,1.980,6.705,0.116,0.335,0.490,7.267
22,5.250,2,2.450,3,2.403,2,13,0.397,0.712,1.429,0.049,0.056,0.084,1.506
