step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
1,41.957,22,18.212,30,20.511,22,129,3.233,7.305,12.743,0.406,0.432,0.667,13.381
2,16.113,8,6.670,10,8.396,8,56,1.046,2.949,5.502,0.152,0.186,0.290,5.777
3,7.696,4,3.030,5,4.167,4,30,0.499,1.353,2.697,0.072,0.099,0.153,2.839
4,6.181,3,2.657,4,3.096,3,22,0.428,0.991,1.997,0.054,0.079,0.113,2.104
5,4.286,2,2.029,3,1.917,2,13,0.340,0.658,1.205,0.040,0.044,0.070,1.270
6,13.653,6,5.347,9,7.186,6,55,1.120,2.062,4.880,0.109,0.192,0.296,5.168
7,9.851,4,3.856,5,5.347,4,33,0.648,1.497,3.354,0.106,0.130,0.200,3.544
8,4.376,2,2.094,3,1.934,2,12,0.349,0.676,1.168,0.040,0.040,0.064,1.229
9,9.525,5,4.019,6,4.873,5,33,0.634,1.671,3.081,0.095,0.113,0.176,3.244
10,4.332,2,2.104,3,1.848,2,10,0.381,0.701,1.117,0.038,0.034,0.052,1.166
11,4.642,2,2.294,3,1.944,2,11,0.403,0.766,1.210,0.038,0.038,0.059,1.265
12,11.040,6,4.534,7,5.829,6,40,0.677,1.923,3.635,0.117,0.139,0.210,3.842
13,4.451,2,2.213,3,1.889,2,11,0.349,0.695,1.159,0.040,0.038,0.058,1.212
14,6.091,3,2.544,4,3.111,3,24,0.437,0.985,2.030,0.054,0.084,0.127,2.147
15,8.242,4,3.329,5,4.391,4,35,0.522,1.280,2.798,0.077,0.125,0.183,2.972
16,31.390,4,3.374,5,27.479,4,453,0.538,1.274,23.031,0.086,1.669,2.325,26.114
17,2.644,1,1.463,2,0.919,1,5,0.263,0.329,0.527,0.020,0.019,0.027,0.551
18,4.291,2,2.143,3,1.801,2,11,0.347,0.629,1.098,0.041,0.042,0.060,1.152
19,45.254,4,3.328,5,41.413,4,636,0.514,1.407,35.432,0.081,2.501,3.460,40.000
20,205.790,19,19.763,28,182.005,19,2284,4.023,7.036,153.647,0.434,10.765,15.155,174.200
21,12.482,5,4.611,7,7.057,5,71,0.814,1.646,4.856,0.100,0.276,0.396,5.279
22,4.359,2,1.963,3,2.017,2,13,0.379,0.656,1.217,0.040,0.049,0.071,1.283
23,47.202,4,3.575,5,43.054,4,654,0.573,1.328,36.799,0.083,2.599,3.588,41.584
24,6.035,3,2.821,4,2.772,3,16,0.443,0.978,1.646,0.060,0.062,0.089,1.724
25,4.388,2,1.941,3,2.075,2,15,0.372,0.642,1.290,0.041,0.059,0.084,1.366
26,4.678,2,2.087,3,2.092,2,14,0.500,0.648,1.248,0.050,0.054,0.078,1.317
27,4.519,2,2.197,3,1.965,2,11,0.357,0.717,1.162,0.041,0.043,0.061,1.218
28,4.789,2,2.311,3,2.110,2,11,0.368,0.702,1.210,0.046,0.042,0.062,1.268
29,37.042,5,4.033,6,32.375,5,497,0.635,1.701,27.057,0.107,1.959,2.708,30.526
30,2.770,1,1.547,2,0.921,1,5,0.302,0.313,0.513,0.020,0.019,0.027,0.538
31,12.591,4,3.428,5,8.631,4,102,0.531,1.332,6.489,0.085,0.412,0.594,7.198
32,4.485,2,2.186,3,1.940,2,12,0.359,0.631,1.163,0.043,0.046,0.068,1.229
33,4.359,2,2.094,3,1.908,2,12,0.357,0.654,1.162,0.041,0.045,0.066,1.222
34,7.180,3,2.613,4,4.127,3,31,0.440,1.070,2.782,0.065,0.130,0.196,2.981
35,4.350,2,1.970,3,2.017,2,13,0.362,0.656,1.225,0.039,0.050,0.074,1.293
36,4.542,2,2.204,3,1.950,2,11,0.388,0.704,1.161,0.051,0.042,0.060,1.215
37,57.805,4,3.410,5,53.838,4,798,0.556,1.343,46.439,0.082,3.273,4.476,52.382
38,3.038,1,1.637,2,1.028,1,5,0.373,0.403,0.638,0.020,0.020,0.030,0.663
39,6.549,3,2.766,4,3.328,3,25,0.455,0.966,2.120,0.067,0.098,0.141,2.252
40,4.785,2,2.432,3,1.968,2,12,0.384,0.655,1.197,0.041,0.051,0.074,1.264
41,5.026,2,2.341,3,2.183,2,12,0.502,0.739,1.372,0.051,0.048,0.070,1.438
42,5.007,2,2.350,3,2.240,2,12,0.417,0.730,1.425,0.042,0.050,0.073,1.489
43,6.783,3,3.128,4,3.125,3,19,0.530,1.052,1.885,0.068,0.079,0.112,1.983
44,5.006,2,2.162,3,2.447,2,12,0.398,0.795,1.462,0.045,0.049,0.071,1.530
45,5.013,2,2.444,3,2.166,2,13,0.403,0.690,1.337,0.049,0.055,0.079,1.405
46,4.739,2,2.125,3,2.216,2,12,0.398,0.773,1.399,0.046,0.057,0.073,1.467
47,4.561,2,2.213,3,1.983,2,13,0.365,0.629,1.192,0.043,0.050,0.073,1.258
48,4.538,2,2.191,3,1.992,2,12,0.355,0.651,1.185,0.043,0.051,0.073,1.250
49,10.595,5,4.071,6,5.901,5,44,0.624,1.641,3.891,0.105,0.176,0.263,4.137
50,6.424,3,2.742,4,3.235,3,21,0.447,0.985,2.020,0.063,0.094,0.123,2.132
51,2.711,1,1.474,2,0.955,1,5,0.282,0.324,0.545,0.027,0.020,0.030,0.573
52,6.362,3,3.005,4,2.888,3,16,0.469,0.941,1.675,0.073,0.064,0.094,1.759
53,7.920,4,3.460,5,3.887,4,22,0.573,1.390,2.326,0.088,0.089,0.129,2.440
54,4.587,2,2.115,3,2.110,2,15,0.362,0.649,1.280,0.044,0.058,0.084,1.359
55,4.627,2,2.054,3,2.186,2,12,0.386,0.656,1.263,0.048,0.050,0.076,1.333
56,6.660,3,3.027,4,3.165,3,24,0.467,0.965,1.973,0.063,0.093,0.135,2.101
57,6.235,3,2.897,4,2.871,3,17,0.467,0.951,1.684,0.068,0.068,0.098,1.774
58,8.694,4,3.592,5,4.521,4,27,0.581,1.344,2.823,0.102,0.120,0.195,2.995
59,4.715,2,2.009,3,2.313,2,13,0.393,0.800,1.502,0.045,0.059,0.082,1.579
60,4.607,2,2.263,3,1.975,2,10,0.369,0.694,1.213,0.054,0.046,0.059,1.266
61,6.632,3,2.893,4,3.275,3,22,0.465,0.995,1.971,0.062,0.088,0.131,2.087
62,7.852,4,3.446,5,3.854,4,21,0.553,1.374,2.274,0.090,0.082,0.117,2.378
63,9.932,4,3.486,5,5.857,4,52,0.589,1.419,4.015,0.090,0.213,0.293,4.318
64,6.483,3,2.996,4,2.771,3,14,0.716,0.948,1.508,0.065,0.055,0.077,1.579
65,9.928,5,4.002,6,5.200,5,33,0.725,1.626,3.195,0.108,0.132,0.190,3.374
66,6.163,3,2.882,4,2.839,3,15,0.442,0.966,1.604,0.061,0.058,0.083,1.679
67,6.255,3,2.646,4,3.145,3,21,0.464,0.980,1.919,0.061,0.085,0.120,2.028
68,10.798,5,4.319,6,5.829,5,49,0.651,1.585,3.767,0.106,0.195,0.280,4.036
69,6.248,3,2.646,4,3.024,3,19,0.578,1.003,1.831,0.071,0.077,0.114,1.932
70,6.382,3,2.919,4,2.979,3,16,0.484,1.063,1.789,0.069,0.066,0.091,1.871
71,12.609,5,4.140,6,7.822,5,77,0.646,1.755,5.477,0.112,0.307,0.433,5.932
72,6.505,3,2.883,4,3.088,3,19,0.534,0.986,1.906,0.067,0.077,0.112,2.006
73,6.441,3,2.849,4,3.110,3,21,0.482,0.983,1.898,0.066,0.083,0.118,2.005
74,11.007,5,4.178,6,6.204,5,49,0.625,1.659,3.973,0.110,0.199,0.280,4.241
75,8.964,4,3.497,5,4.919,4,38,0.548,1.293,3.126,0.085,0.155,0.220,3.337
76,8.197,4,3.575,5,4.021,4,23,0.601,1.318,2.338,0.095,0.096,0.134,2.459
77,6.937,3,2.745,4,3.681,3,26,0.511,1.030,2.412,0.067,0.113,0.150,2.551
78,4.714,2,2.271,3,2.042,2,13,0.401,0.642,1.204,0.044,0.053,0.075,1.270
79,6.760,3,2.944,4,3.365,3,23,0.452,1.029,2.215,0.061,0.097,0.133,2.340
80,10.989,5,4.025,6,6.342,5,48,0.622,1.694,4.162,0.114,0.201,0.276,4.440
81,7.701,3,2.634,4,4.587,3,37,0.480,1.069,3.126,0.068,0.155,0.221,3.352
82,10.467,5,4.047,6,5.765,5,39,0.655,1.709,3.637,0.115,0.163,0.227,3.850
83,7.405,3,2.713,4,4.219,3,41,0.474,1.014,2.830,0.068,0.166,0.235,3.065
84,10.820,5,4.271,6,5.773,5,46,0.776,1.691,3.740,0.111,0.190,0.263,3.982
85,9.748,4,3.541,5,5.650,4,53,0.557,1.293,3.804,0.084,0.215,0.306,4.114
86,6.707,3,2.779,4,3.470,3,23,0.458,1.103,2.245,0.065,0.099,0.136,2.369
87,9.960,4,3.421,5,5.937,4,52,0.603,1.369,4.112,0.101,0.218,0.309,4.426
88,4.555,2,2.074,3,2.113,2,15,0.368,0.662,1.321,0.044,0.062,0.087,1.405
89,8.031,4,3.484,5,4.008,4,23,0.539,1.377,2.461,0.083,0.095,0.135,2.582
90,6.885,3,2.701,4,3.719,3,32,0.465,1.004,2.438,0.064,0.130,0.181,2.615
91,6.775,3,2.673,4,3.516,3,26,0.586,0.994,2.245,0.068,0.104,0.151,2.388
92,26.456,9,6.758,10,18.714,9,231,0.984,2.871,13.850,0.193,0.937,1.320,15.352
93,16.580,6,4.817,7,11.045,6,110,0.717,2.107,8.152,0.132,0.460,0.644,8.861
94,4.796,2,2.146,3,2.250,2,15,0.401,0.664,1.325,0.044,0.060,0.084,1.400
95,18.739,4,3.477,5,14.707,4,218,0.556,1.451,11.744,0.083,0.876,1.209,13.228
96,28.202,9,6.853,10,20.362,9,248,0.988,2.873,15.323,0.201,1.025,1.436,17.032
97,7.334,3,2.810,4,4.073,3,34,0.451,1.030,2.769,0.063,0.142,0.202,2.977
98,9.748,4,3.540,5,5.660,4,53,0.547,1.353,3.865,0.085,0.215,0.310,4.172
99,33.215,6,4.625,7,27.871,6,415,0.719,1.983,22.758,0.129,1.675,2.311,25.668
100,14.933,4,3.539,5,10.846,4,147,0.548,1.303,8.380,0.092,0.594,0.824,9.401
101,4.699,2,2.030,3,2.297,2,14,0.372,0.689,1.379,0.044,0.058,0.085,1.460
102,6.608,3,2.897,4,3.224,3,21,0.487,1.003,2.012,0.074,0.087,0.125,2.124
103,19.045,4,4.173,5,14.186,4,148,0.687,1.449,11.075,0.107,0.713,0.981,12.424
104,23.576,5,5.091,6,17.793,5,182,0.692,1.886,13.916,0.130,0.905,1.233,15.527
105,7.700,3,2.962,4,4.229,3,31,0.509,1.117,2.806,0.073,0.152,0.199,3.016
