step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
1,43.093,22,18.878,30,20.990,22,129,3.225,7.640,13.061,0.419,0.429,0.664,13.687
2,15.518,8,6.302,10,8.194,8,56,1.022,2.746,5.329,0.172,0.184,0.291,5.607
3,7.879,4,3.073,5,4.273,4,30,0.534,1.416,2.843,0.073,0.100,0.155,2.994
4,6.264,3,2.751,4,3.047,3,22,0.466,1.013,1.961,0.063,0.071,0.111,2.066
5,4.340,2,2.053,3,1.921,2,13,0.367,0.634,1.194,0.035,0.046,0.069,1.258
6,13.652,6,5.421,9,7.257,6,55,0.974,2.024,4.779,0.123,0.194,0.299,5.108
7,9.658,4,3.842,5,5.202,4,33,0.614,1.638,3.617,0.081,0.122,0.194,3.801
8,4.444,2,2.173,3,1.910,2,12,0.362,0.671,1.179,0.037,0.040,0.064,1.237
9,9.554,5,3.856,6,5.056,5,33,0.642,1.647,3.162,0.095,0.112,0.179,3.327
10,4.369,2,2.189,3,1.818,2,10,0.362,0.676,1.065,0.040,0.035,0.051,1.113
11,4.527,2,2.196,3,1.960,2,11,0.371,0.656,1.205,0.037,0.039,0.060,1.267
12,11.642,6,4.774,7,6.142,6,40,0.727,1.996,3.834,0.114,0.143,0.207,4.032
13,4.312,2,2.153,3,1.816,2,11,0.342,0.654,1.087,0.045,0.038,0.057,1.141
14,6.458,3,2.696,4,3.319,3,24,0.444,1.090,2.155,0.059,0.082,0.126,2.277
15,8.638,4,3.453,5,4.622,4,35,0.563,1.344,2.912,0.077,0.126,0.186,3.091
16,34.361,4,3.315,5,30.487,4,453,0.559,1.461,25.771,0.082,1.708,2.381,28.983
17,4.468,2,2.155,3,1.959,2,11,0.355,0.676,1.134,0.042,0.040,0.058,1.189
18,4.421,2,2.163,3,1.879,2,12,0.379,0.643,1.137,0.040,0.048,0.065,1.196
19,173.183,20,17.004,30,152.849,20,2334,3.330,6.437,129.523,0.428,9.149,12.595,145.845
20,13.617,5,4.720,7,8.141,5,77,0.757,1.666,5.776,0.110,0.313,0.442,6.264
21,15.250,4,3.223,5,11.491,4,141,0.535,1.379,8.945,0.083,0.561,0.814,9.958
22,4.680,2,2.067,3,2.244,2,13,0.370,0.730,1.414,0.048,0.054,0.078,1.498
