step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
1,42.325,22,18.012,28,21.268,22,129,3.045,7.702,13.204,0.414,0.437,0.672,13.838
2,16.029,8,6.654,10,8.303,8,56,1.072,2.873,5.332,0.171,0.188,0.292,5.607
3,8.240,4,3.264,5,4.420,4,30,0.556,1.475,2.877,0.079,0.098,0.153,3.028
4,6.201,3,2.690,4,3.068,3,22,0.443,1.002,1.940,0.058,0.072,0.111,2.059
5,4.471,2,2.124,3,1.966,2,13,0.381,0.671,1.211,0.037,0.043,0.070,1.278
6,12.028,6,4.609,7,6.600,6,55,0.819,1.984,4.311,0.113,0.181,0.278,4.585
7,8.381,4,3.475,5,4.343,4,33,0.563,1.351,2.812,0.075,0.113,0.174,2.977
8,4.508,2,2.199,3,1.864,2,12,0.445,0.631,1.132,0.042,0.040,0.061,1.189
9,9.753,5,4.138,6,4.982,5,33,0.633,1.653,3.071,0.097,0.112,0.176,3.235
10,4.671,2,2.349,3,1.941,2,10,0.381,0.690,1.129,0.039,0.036,0.053,1.178
11,4.607,2,2.249,3,1.986,2,11,0.372,0.645,1.158,0.037,0.038,0.061,1.213
12,11.830,6,5.070,7,6.019,6,40,0.742,2.071,3.710,0.114,0.135,0.204,3.898
13,4.578,2,2.250,3,1.864,2,11,0.463,0.662,1.111,0.042,0.038,0.058,1.164
14,6.513,3,2.830,4,3.228,3,24,0.455,1.028,2.082,0.061,0.085,0.128,2.204
15,8.856,4,3.598,5,4.707,4,35,0.551,1.381,2.991,0.170,0.128,0.190,3.194
16,31.570,4,3.643,5,27.238,4,454,0.689,1.390,22.729,0.086,1.663,2.340,25.797
17,4.697,2,2.263,3,2.070,2,11,0.364,0.741,1.272,0.045,0.041,0.061,1.328
18,4.848,2,2.406,3,2.036,2,12,0.407,0.669,1.210,0.038,0.044,0.066,1.329
19,167.689,20,17.080,24,148.059,20,2334,2.551,6.927,124.480,0.429,8.904,12.390,140.544
20,14.117,5,5.394,7,7.917,5,77,0.807,1.690,5.545,0.118,0.309,0.443,6.038
21,15.247,4,3.748,5,10.942,4,141,0.557,1.369,8.432,0.090,0.560,0.806,9.430
22,4.894,2,2.282,3,2.251,2,13,0.360,0.698,1.334,0.044,0.052,0.079,1.405
23,42.317,4,3.847,5,37.918,4,630,0.552,1.436,32.082,0.088,2.456,3.376,36.376
24,6.797,3,3.298,4,2.955,3,17,0.545,1.046,1.738,0.070,0.067,0.097,1.825
25,4.976,2,2.213,3,2.315,2,14,0.447,0.706,1.449,0.048,0.056,0.081,1.523
26,4.932,2,2.318,3,2.241,2,14,0.373,0.695,1.437,0.047,0.060,0.082,1.514
27,4.918,2,2.438,3,2.080,2,11,0.400,0.682,1.270,0.042,0.045,0.064,1.327
28,4.900,2,2.566,3,1.959,2,11,0.375,0.685,1.132,0.048,0.043,0.062,1.193
29,46.699,5,4.638,6,41.419,5,619,0.641,1.739,35.136,0.111,2.464,3.365,39.550
30,4.939,2,2.541,3,2.012,2,10,0.386,0.690,1.121,0.045,0.039,0.056,1.175
31,13.355,4,4.080,5,8.695,4,103,0.580,1.423,6.443,0.087,0.407,0.588,7.130
32,5.172,2,2.587,3,2.207,2,12,0.378,0.795,1.368,0.051,0.049,0.069,1.432
33,5.047,2,2.483,3,2.177,2,12,0.388,0.703,1.291,0.044,0.047,0.068,1.355
34,7.437,3,3.214,4,3.745,3,28,0.478,1.126,2.480,0.060,0.112,0.163,2.634
35,4.736,2,2.297,3,2.069,2,13,0.370,0.682,1.250,0.040,0.051,0.072,1.315
36,5.288,2,2.657,3,2.248,2,12,0.384,0.709,1.318,0.045,0.047,0.069,1.382
37,56.833,4,4.177,5,52.104,4,778,0.552,1.385,44.984,0.085,3.129,4.221,50.563
38,5.083,2,2.685,3,2.010,2,11,0.387,0.684,1.207,0.041,0.045,0.064,1.265
39,7.177,3,3.229,4,3.474,3,25,0.473,1.066,2.233,0.083,0.098,0.142,2.365
40,5.267,2,2.666,3,2.078,2,13,0.524,0.687,1.269,0.041,0.053,0.073,1.336
41,5.061,2,2.594,3,2.073,2,13,0.394,0.685,1.231,0.052,0.050,0.071,1.296
42,5.139,2,2.496,3,2.229,2,13,0.414,0.744,1.389,0.056,0.052,0.076,1.458
43,7.011,3,3.479,4,3.066,3,19,0.466,1.009,1.827,0.062,0.078,0.108,1.923
44,4.920,2,2.506,3,2.027,2,12,0.387,0.687,1.186,0.050,0.046,0.067,1.247
45,5.285,2,2.740,3,2.153,2,13,0.392,0.685,1.321,0.042,0.053,0.075,1.389
46,4.939,2,2.526,3,2.047,2,12,0.366,0.681,1.243,0.044,0.049,0.070,1.306
47,5.175,2,2.711,3,2.075,2,13,0.389,0.705,1.277,0.045,0.053,0.074,1.343
48,5.303,2,2.746,3,2.166,2,12,0.391,0.687,1.288,0.040,0.048,0.076,1.361
49,11.721,5,5.253,6,5.810,5,47,0.658,1.649,3.730,0.104,0.189,0.266,3.986
50,7.088,3,3.371,4,3.183,3,21,0.533,1.043,1.933,0.068,0.082,0.119,2.040
51,5.222,2,2.827,3,1.992,2,11,0.403,0.699,1.162,0.044,0.043,0.062,1.220
52,7.156,3,3.785,4,2.911,3,16,0.460,1.032,1.698,0.069,0.063,0.094,1.780
53,8.989,4,4.428,5,3.990,4,22,0.571,1.393,2.298,0.089,0.087,0.127,2.413
54,5.398,2,2.654,3,2.371,2,15,0.373,0.756,1.554,0.048,0.060,0.090,1.634
55,5.147,2,2.541,3,2.231,2,13,0.375,0.767,1.409,0.048,0.052,0.076,1.483
56,7.686,3,3.708,4,3.512,3,24,0.466,1.061,2.157,0.059,0.096,0.140,2.289
57,6.990,3,3.635,4,2.851,3,17,0.505,0.980,1.678,0.067,0.067,0.096,1.765
58,9.415,4,4.487,5,4.348,4,26,0.580,1.476,2.696,0.090,0.105,0.156,2.838
59,5.344,2,2.635,3,2.305,2,13,0.404,0.717,1.343,0.047,0.052,0.074,1.415
60,5.472,2,2.985,3,2.085,2,10,0.403,0.723,1.188,0.048,0.041,0.059,1.241
61,7.572,3,3.729,4,3.365,3,22,0.478,1.027,2.149,0.063,0.091,0.129,2.268
62,8.971,4,4.656,5,3.740,4,20,0.575,1.344,2.158,0.092,0.079,0.110,2.262
63,10.624,4,4.529,5,5.540,4,51,0.555,1.406,3.698,0.093,0.203,0.296,3.990
64,7.577,3,4.107,4,2.750,3,14,0.719,0.985,1.553,0.077,0.057,0.080,1.626
65,11.653,5,5.471,6,5.398,5,32,0.785,1.714,3.255,0.120,0.138,0.191,3.439
66,7.620,3,4.059,4,2.974,3,16,0.586,1.011,1.689,0.062,0.062,0.094,1.775
67,7.289,3,3.645,4,3.164,3,19,0.480,1.016,1.825,0.064,0.074,0.106,1.922
68,12.591,5,5.816,6,6.115,5,48,0.660,1.753,3.839,0.115,0.198,0.271,4.097
69,7.346,3,3.760,4,3.076,3,19,0.511,1.017,1.799,0.067,0.075,0.110,1.897
70,7.545,3,4.224,4,2.831,3,16,0.491,0.971,1.615,0.065,0.062,0.092,1.702
