step,time_days,date,dt_days,converged,nonlinear_iters,wall_s,well,status,qO_sm3d,qW_sm3d,qG_sm3d,bhp_bar
1,30.000,1999-10-01,30.000,1,41,106.84,3-4-216,1,-42.266302,-0.044698,-0.000000,259.085785
2,61.000,1999-11-01,31.000,1,6,15.16,3-4-216,1,-79.374502,-0.147498,-0.000000,252.835134
3,91.000,1999-12-01,30.000,1,4,10.04,3-4-216,1,-78.374695,-0.135305,-0.000000,252.822798
4,119.000,1999-12-29,28.000,1,3,7.91,3-4-216,1,-80.410738,-0.145262,-0.000000,252.376084
5,122.000,2000-01-01,3.000,1,2,5.47,3-4-216,1,-80.410458,-0.145542,-0.000000,252.362881
5,122.000,2000-01-01,3.000,1,2,5.47,T142-2,1,-0.000629,0.000629,-0.000000,267.151565
6,153.000,2000-02-01,31.000,1,7,15.71,3-4-216,1,-81.343127,-0.174873,-0.000000,251.993748
6,153.000,2000-02-01,31.000,1,7,15.71,T142-2,1,-25.354038,-4.252962,-0.000000,264.955028
7,177.000,2000-02-25,24.000,1,4,9.57,3-4-216,1,-106.619451,-0.367549,-0.000000,247.576009
7,177.000,2000-02-25,24.000,1,4,9.57,T142-1,1,-5.199384,-0.003616,-0.000000,257.360608
7,177.000,2000-02-25,24.000,1,4,9.57,T142-2,1,-29.248094,-7.939906,-0.000000,264.188681
7,177.000,2000-02-25,24.000,1,4,9.57,T142X9,1,-21.264041,-0.017959,-0.000000,260.020676
8,182.000,2000-03-01,5.000,1,2,5.23,3-4-216,1,-106.605159,-0.381841,-0.000000,247.501460
8,182.000,2000-03-01,5.000,1,2,5.23,T142-1,1,-5.199259,-0.003741,-0.000000,257.323305
8,182.000,2000-03-01,5.000,1,2,5.23,T142-2,1,-28.658814,-8.529186,-0.000000,264.149528
8,182.000,2000-03-01,5.000,1,2,5.23,T142X4,1,0.000013,-0.000013,-0.000000,262.794975
8,182.000,2000-03-01,5.000,1,2,5.23,T142X9,1,-21.263237,-0.018763,-0.000000,259.961115
9,205.000,2000-03-24,23.000,1,5,12.39,3-4-216,1,-136.091446,-0.889554,-0.000000,242.084149
9,205.000,2000-03-24,23.000,1,5,12.39,T142-1,1,-31.991085,-15.017915,-0.000000,231.608756
9,205.000,2000-03-24,23.000,1,5,12.39,T142-2,1,-25.217787,-11.175213,-0.000000,263.820559
9,205.000,2000-03-24,23.000,1,5,12.39,T142X4,1,-0.000000,0.000000,-0.000000,262.069003
9,205.000,2000-03-24,23.000,1,5,12.39,T142X9,1,-80.849618,-0.312382,-0.000000,254.792766
10,210.000,2000-03-29,5.000,1,2,5.22,3-4-216,1,-136.018754,-0.962246,-0.000000,241.950909
10,210.000,2000-03-29,5.000,1,2,5.22,T142-1,1,-29.481975,-17.527025,-0.000000,232.050058
10,210.000,2000-03-29,5.000,1,2,5.22,T142-2,1,-24.595496,-11.797504,-0.000000,263.754143
10,210.000,2000-03-29,5.000,1,2,5.22,T142-8,1,0.000000,-0.000000,-0.000000,272.336426
10,210.000,2000-03-29,5.000,1,2,5.22,T142X4,1,0.000056,-0.000056,-0.000000,261.939158
10,210.000,2000-03-29,5.000,1,2,5.22,T142X9,1,-80.807285,-0.354715,-0.000000,254.671851
11,213.000,2000-04-01,3.000,1,2,5.19,3-4-216,1,-135.971481,-1.009519,-0.000000,241.886271
11,213.000,2000-04-01,3.000,1,2,5.19,T142-1,1,-28.390648,-18.618352,-0.000000,232.231694
11,213.000,2000-04-01,3.000,1,2,5.19,T142-2,1,-24.238267,-12.154733,-0.000000,263.718248
11,213.000,2000-04-01,3.000,1,2,5.19,T142-8,1,0.000000,-0.000000,-0.000000,272.306520
11,213.000,2000-04-01,3.000,1,2,5.19,T142X4,1,0.000045,-0.000045,-0.000000,261.870926
11,213.000,2000-04-01,3.000,1,2,5.19,T142X6,1,0.000000,-0.000000,-0.000000,261.818689
11,213.000,2000-04-01,3.000,1,2,5.19,T142X9,1,-80.781261,-0.380739,-0.000000,254.612271
12,238.000,2000-04-26,25.000,1,6,14.61,3-4-216,1,-143.225839,-2.041161,-0.000000,239.973360
12,238.000,2000-04-26,25.000,1,6,14.61,T142-1,1,-24.234386,-21.032614,-0.000000,233.242277
12,238.000,2000-04-26,25.000,1,6,14.61,T142-2,1,-17.531224,-11.492776,-0.000000,263.860862
12,238.000,2000-04-26,25.000,1,6,14.61,T142-3,1,0.000000,-0.000000,-0.000000,270.626753
