accepted_ministeps,bhp_max,bhp_min,converged,cut_count,dt_days,elapsed_seconds,iterations,pressure_max,pressure_min,qOs_sum,qWs_sum,sW_max,sW_min,step,time_days
4,40997640.56143251,39500000.0,True,0,1.0,21.882519400009187,10,40821194.328110136,39596156.02687055,-0.007356508347468418,0.007361111111111111,0.35408033897737196,0.09999589064639136,1,1.0
3,40950427.66260724,39500000.0,True,0,4.0,21.034621600003447,11,40838534.933870874,39595875.16225997,-0.00736029138531963,0.007361111111111111,0.5537940962132777,0.09999573230674097,2,5.0
1,40855174.12233112,39500000.0,True,0,5.0,9.382997500011697,5,40842325.027598076,39595669.85737319,-0.007360750603370846,0.007361111111111111,0.597297653163946,0.09999539517756757,3,10.0
2,40783088.833375305,39500000.0,True,0,10.0,16.403127799989306,8,40836865.39890779,39595432.5831971,-0.007360933866335563,0.007361111111111111,0.6387805249451854,0.09999530119206733,4,20.0
2,40754240.3401388,39500000.0,True,0,10.0,15.796392699994612,7,40831705.79740148,39595155.201988615,-0.00736090786250058,0.007361111111111111,0.6589235336878626,0.09999601171509036,5,30.0
1,40737857.08935105,39500000.0,True,0,10.0,11.932307600000058,5,40828755.512514934,39594932.273505315,-0.0073609039411784505,0.007361111111111111,0.6726827566357849,0.0999964120826898,6,40.0
1,40726048.188435815,39500000.0,True,0,10.0,11.16161579999607,5,40827343.95155269,39594709.17447111,-0.007360895463096095,0.007361111111111111,0.6829340979770717,0.09999639713826095,7,50.0
1,40715793.12166228,39500000.0,True,0,10.0,10.474670700001298,5,40823781.53964407,39594533.01527081,-0.007360932526126657,0.007361111111111111,0.6907469534810107,0.09999633290642583,8,60.0
1,40704391.05910709,39500000.0,True,0,10.0,10.666719499989995,5,40817561.82914477,39594374.739047825,-0.0073609461801641355,0.007361111111111111,0.6968457739680783,0.09999698193915993,9,70.0
1,40693748.31181277,39500000.0,True,0,10.0,11.314783200010424,5,40810860.17430391,39594198.54332886,-0.007360941031600532,0.007361111111111111,0.70188153926707,0.09999699514823311,10,80.0
1,40683882.58498489,39500000.0,True,0,10.0,11.08805590000702,5,40803956.399255425,39594043.37099662,-0.007360937533128156,0.007361111111111111,0.7063972438869844,0.09999699121884055,11,90.0
2,40675368.72417402,39500000.0,True,0,15.0,16.351066200004425,7,40799292.083917,39593850.24898379,-0.0073609075876936,0.007361111111111111,0.7122557182870655,0.09999717623954689,12,105.0
1,40668121.53181223,39500000.0,True,0,15.0,12.19762510000146,5,40795439.81804327,39593850.73137376,-0.007360831909711343,0.007361111111111111,0.7173512481027728,0.09999729089459036,13,120.0
1,40663730.73474285,39500000.0,True,0,15.0,14.355314800006454,5,40797446.04427744,39595072.61768285,-0.007360725205542783,0.007361111111111111,0.7218216009666613,0.09999722753626873,14,135.0
1,40671159.14853523,39500000.0,True,0,15.0,14.302540799995768,5,40813344.12380091,39603713.517562285,-0.0073391198157013145,0.0073403417849859515,0.7257609208130044,0.09999707674022973,15,150.0
1,40686414.31067388,39500000.0,True,0,15.0,16.151882400008617,5,40832674.49553915,39618065.68513351,-0.007252964292527238,0.007254669682984854,0.7292494052685633,0.09999684225020117,16,165.0
1,40701163.85079018,39500000.0,True,0,15.0,19.57493119999708,6,40849233.839238405,39633796.003892265,-0.007156860702581775,0.007158280130405893,0.7323507140772473,0.09999662338895439,17,180.0
1,40709738.165026344,39500000.0,True,0,15.0,18.486662199997227,5,40859370.43330038,39637996.85484874,-0.007073461194077222,0.007074509404172259,0.735117656977777,0.09999658687816594,18,195.0
1,40714300.2977382,39500000.0,True,0,15.0,21.19222389999777,5,40865306.28492933,39642302.67864361,-0.007009339232188489,0.007010107914176873,0.7375948415440328,0.09999657246469226,19,210.0
1,40722281.45368498,39500000.0,True,0,15.0,17.059892999997828,5,40874556.73564424,39677620.70772648,-0.006941822725653516,0.006942851042067851,0.7398185997232769,0.0999964426436945,20,225.0
1,40727047.01299892,39500000.0,True,0,15.0,16.891738500009524,5,40880388.79149272,39691600.24359268,-0.006852281193522187,0.006853163475180696,0.7418197359640748,0.09999631257357845,21,240.0
1,40728890.58055039,39500000.0,True,0,15.0,16.918302599995513,5,40883213.537246004,39698054.710239865,-0.006757543273765632,0.006758237753954672,0.7436246390005468,0.09999619247478861,22,255.0
1,40730511.77789532,39500000.0,True,0,15.0,14.573345299999346,4,40885750.90090031,39702792.74304776,-0.006666309752693042,0.006666950130043259,0.7452555291504243,0.09999616744422221,23,270.0
1,40731756.53694281,39500000.0,True,0,15.0,20.020807199995033,5,40885361.63468196,39703917.15438181,-0.0065682511709137725,0.006568734932325928,0.746731450244728,0.09999612138141982,24,285.0
1,40735612.210128255,39500000.0,True,0,15.0,16.86738609999884,4,40883446.353389926,39699712.52000466,-0.006456746986345742,0.006457147341977963,0.7480690436770536,0.09999604199734866,25,300.0
