accepted_ministeps,converged,dt_days,iterations,pressure_max,pressure_min,step,step_elapsed_seconds,time_days,well_count
4,True,1.0,10,40821194.328110136,39596156.02687055,1,13.79125500000373,1.0,12
3,True,4.0,11,40838534.933870874,39595875.16225997,2,13.40319099999033,5.0,12
1,True,5.0,5,40842325.027598076,39595669.85737319,3,6.1360791999904905,10.0,12
2,True,10.0,8,40836865.39890779,39595432.5831971,4,10.271202000003541,20.0,12
2,True,10.0,7,40831705.79740148,39595155.201988615,5,9.60772659999202,30.0,12
1,True,10.0,5,40828755.512514934,39594932.273505315,6,6.966292600001907,40.0,12
1,True,10.0,5,40827343.95155269,39594709.17447111,7,6.945757800000138,50.0,12
1,True,10.0,5,40823781.53964407,39594533.01527081,8,6.711611799997627,60.0,12
1,True,10.0,5,40817561.82914477,39594374.739047825,9,6.572896900004707,70.0,12
1,True,10.0,5,40810860.17430391,39594198.54332886,10,7.15751679999812,80.0,12
1,True,10.0,5,40803956.399255425,39594043.37099662,11,7.059912299999269,90.0,12
2,True,15.0,7,40799292.083917,39593850.24898379,12,10.83856439999363,105.0,12
1,True,15.0,5,40795439.81804327,39593850.73137376,13,8.199355999997351,120.0,12
1,True,15.0,5,40797446.04427744,39595072.61768285,14,8.24658309998631,135.0,12
1,True,15.0,5,40813344.12380091,39603713.517562285,15,8.353912400008994,150.0,12
1,True,15.0,5,40832674.49553915,39618065.68513351,16,9.460550799994962,165.0,12
1,True,15.0,6,40849233.839238405,39633796.003892265,17,11.24140269999043,180.0,12
1,True,15.0,5,40859370.43330038,39637996.85484874,18,9.632346800004598,195.0,12
1,True,15.0,5,40865306.28492933,39642302.67864361,19,10.821553799993126,210.0,12
1,True,15.0,5,40874556.73564424,39677620.70772648,20,10.075237500001094,225.0,12
1,True,15.0,5,40880388.79149272,39691600.24359268,21,10.14480409999669,240.0,12
1,True,15.0,5,40883213.537246004,39698054.710239865,22,10.53737039999396,255.0,12
1,True,15.0,4,40885750.90090031,39702792.74304776,23,8.503407600001083,270.0,12
1,True,15.0,5,40885361.63468196,39703917.15438181,24,11.104907300003106,285.0,12
1,True,15.0,4,40883446.353389926,39699712.52000466,25,10.112688799999887,300.0,12
1,True,30.0,6,40893409.0897144,39702597.85392667,26,16.16899310000008,330.0,12
1,True,30.0,6,40926145.76352452,39702060.397903495,27,17.737284599992563,360.0,12
1,True,30.0,6,40992399.92614525,39705487.62080553,28,18.37350289999449,390.0,12
1,True,30.0,5,41047561.64619845,39714327.33680005,29,16.497757699995418,420.0,12
1,True,30.0,5,41084869.252956,39718872.15548453,30,17.27639729999646,450.0,12
1,True,30.0,6,41097753.70300005,39720038.55656971,31,21.38246480000089,480.0,12
1,True,30.0,8,41118741.49148889,39727499.88925398,32,31.094052600004943,510.0,12
1,True,30.0,6,41149956.46641436,39739021.5650231,33,23.225231899996288,540.0,12
1,True,30.0,6,41182222.65394166,39749514.91790102,34,24.974821600000723,570.0,12
1,True,30.0,6,41204513.23754131,39757540.425721645,35,28.833919299999252,600.0,12
1,True,30.0,5,41210934.1088853,39762044.1331707,36,23.26228790001187,630.0,12
1,True,30.0,6,41201021.41404225,39762303.315590315,37,28.896702500001993,660.0,12
1,True,30.0,6,41191805.45244077,39760768.28750695,38,28.410246899991762,690.0,12
1,True,30.0,5,41185998.17525815,39759124.4632518,39,26.164468199989642,720.0,12
1,True,30.0,5,41173622.80723591,39756451.32876703,40,28.657319200006896,750.0,12
1,True,30.0,5,41158403.42448649,39753419.086405545,41,27.49950780000654,780.0,12
1,True,30.0,4,41141184.28571938,39750271.39234883,42,21.682599499996286,810.0,12
1,True,30.0,4,41122972.2834326,39746933.690490924,43,22.22784560000582,840.0,12
1,True,30.0,5,41105004.71098699,39743656.52777995,44,29.296391500000027,870.0,12
1,True,30.0,4,41087583.78870687,39740502.97326805,45,23.382070999999996,900.0,12
1,True,30.0,4,41071401.05792506,39737692.28411175,46,23.947673700007726,930.0,12
1,True,30.0,4,41055300.368874386,39734811.50240437,47,24.497475800002576,960.0,12
1,True,30.0,4,41040066.973660976,39731921.394679345,48,26.43210750000435,990.0,12
1,True,30.0,4,41025662.659229144,39729069.52432775,49,26.423855799992452,1020.0,12
1,True,30.0,5,41011778.416334026,39726217.51420876,50,32.33074530000158,1050.0,12
1,True,30.0,4,40998295.40756121,39723374.597255945,51,27.358228799988865,1080.0,12
1,True,30.0,4,40984862.85503619,39720427.153154835,52,29.19026390000363,1110.0,12
1,True,30.0,4,40971510.84690949,39717428.90604522,53,27.87336189999769,1140.0,12
1,True,30.0,5,40958659.466404006,39714282.50984114,54,35.00410700000066,1170.0,12
1,True,30.0,4,40945980.69085089,39711176.81413546,55,29.395398199994816,1200.0,12
1,True,30.0,4,40933290.979844734,39708046.71975871,56,30.451144999999087,1230.0,12
1,True,30.0,5,40920859.75239112,39704985.80033513,57,39.05386689999432,1260.0,12
1,True,30.0,4,40908656.84946474,39701801.12983142,58,31.09842260000005,1290.0,12
1,True,30.0,4,40896604.250637546,39698545.10869524,59,30.393499900004826,1320.0,12
1,True,30.0,4,40884574.63119326,39695142.11226863,60,30.579747800002224,1350.0,12
1,True,30.0,4,40872831.4114705,39691704.86700326,61,29.847179700009292,1380.0,12
1,True,30.0,3,40861504.530429825,39688402.30706687,62,23.514922100002877,1410.0,12
1,True,30.0,3,40850386.01853788,39685109.79339,63,23.214536600004067,1440.0,12
1,True,30.0,3,40839805.24899952,39681938.703369424,64,23.309178299998166,1470.0,12
1,True,30.0,4,40829771.34987573,39678948.0827077,65,32.32129669999995,1500.0,12
1,True,30.0,4,40820226.07403284,39676295.30016667,66,29.63562859999365,1530.0,12
1,True,30.0,3,40810872.54775595,39673541.11780385,67,24.010938799998257,1560.0,12
1,True,30.0,3,40801950.61894166,39670842.19675201,68,24.117892700000084,1590.0,12
1,True,30.0,3,40793459.653549336,39668220.744990535,69,23.53994160000002,1620.0,12
